instance,target,algorithm,t,p,mu_hat,lambda_hat,total_runs,successes,success_rate,time_limit,normalize_by_total
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.1549,0.02,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.1654,0.04,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.1993,0.06,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.2169,0.08,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.548,0.1,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.5646,0.12,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.5845,0.14,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.6762,0.16,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.6782,0.18,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.7642,0.2,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.7782,0.22,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.7833,0.24,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.8831,0.26,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.8987,0.28,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0.9736,0.3,0.26263098011975183,1.8497654254253437,50,39,0.78,600.0,True
