instance,target,algorithm,mu_hat,lambda_hat,successes,total_runs
instance-01.txt,354.0,GA_pop100_mut0.01_gen1000,0.23411848600480034,0.09267788915595045,50,50
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0028429922513286488,0.0013971541078786494,50,50
instance-01.txt,354.0,TS_t20_i1000,0.011868166483154387,0.0013690718134359136,50,50
