instance,target,algorithm,t,p,mu_hat,lambda_hat,total_runs,successes,success_rate,time_limit,normalize_by_total
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0023,0.02,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0023,0.04,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0024,0.06,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0025,0.08,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0025,0.1,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.003,0.12,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0031,0.14,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0031,0.16,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0031,0.18,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0032,0.2,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0032,0.22,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0032,0.24,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0032,0.26,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0032,0.28,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0032,0.3,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0032,0.32,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0032,0.34,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0033,0.36,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0034,0.38,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0034,0.4,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0034,0.42,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
instance-01.txt,354.0,GRASP_alpha0.1_sampled_greedy,0.0035,0.44,0.0028429922513286488,0.0013971541078786494,50,50,1.0,600.0,True
