instance,target,algorithm,t,p,mu_hat,lambda_hat,total_runs,successes,success_rate,time_limit,normalize_by_total
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.019,0.02,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0211,0.04,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0246,0.06,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0335,0.08,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0338,0.1,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.035,0.12,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0373,0.14,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0374,0.16,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0432,0.18,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0438,0.2,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0458,0.22,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0469,0.24,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0474,0.26,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0514,0.28,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0542,0.3,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0566,0.32,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0631,0.34,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.064,0.36,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0676,0.38,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0705,0.4,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0.0723,0.42,0.020884538043577663,0.09377179187040197,50,44,0.88,600.0,True
