instance,target,algorithm,t,p,mu_hat,lambda_hat,total_runs,successes,success_rate,time_limit,normalize_by_total
instance-06.txt,513.0,TS_t20_i1000,-1.1253070831298828,0.02,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,-0.4273519515991211,0.04,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.083871364593506,0.06,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.101008415222168,0.08,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.1463255882263184,0.1,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.1717021465301514,0.12,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.1842689514160156,0.14,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.187177658081055,0.16,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.189356565475464,0.18,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.21087384223938,0.2,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.2170660495758057,0.22,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.2171776294708252,0.24,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.218492031097412,0.26,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.2353465557098389,0.28,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.2373549938201904,0.3,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.2400472164154053,0.32,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.25710129737854,0.34,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.2666733264923096,0.36,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.2931523323059082,0.38,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.3120689392089844,0.4,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.3261291980743408,0.42,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.354797124862671,0.44,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.3625035285949707,0.46,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.3855996131896973,0.48,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.3887882232666016,0.5,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.4103343486785889,0.52,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.490487813949585,0.54,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.512357234954834,0.56,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.5137195587158203,0.58,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.550241231918335,0.6,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.5525670051574707,0.62,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.5801632404327393,0.64,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.5964951515197754,0.66,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.5995502471923828,0.68,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.6124589443206787,0.7,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.6190760135650637,0.72,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.6294338703155518,0.74,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
instance-06.txt,513.0,TS_t20_i1000,1.646528244018555,0.76,1.1149899652772612,0.39991264989038877,50,50,1.0,600.0,True
