instance,target,algorithm,seed,time_sec,hit,best_cost
instance-04.txt,604.0,TabuSearch_tenure20,0,0.5607,0,530.00
instance-04.txt,604.0,GA_pop100_mut0.01_gen1000,0,10.1548,1,604.00
instance-04.txt,604.0,GRASP_alpha0.1,0,0.1686,1,604.00
instance-04.txt,604.0,TabuSearch_tenure20,1,0.5202,0,503.00
instance-04.txt,604.0,TabuSearch_tenure20,1,60.0008,0,503.00
instance-04.txt,604.0,GRASP_alpha0.1,0,0.1879,1,604.00
instance-01.txt,354.0,TabuSearch_tenure20,2,60.0007,0,308.00
instance-01.txt,354.0,TabuSearch_tenure20,2,0.2419,1,595.00
instance-01.txt,354.0,TabuSearch_tenure20,2,0.0010,1,673.00
