instance,target,algorithm,seed,time_sec,hit,best_cost
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,0,28.3462,1,4782.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,1,600.0061,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,2,600.6828,0,4780.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,3,600.0054,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,4,600.0060,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,5,600.0035,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,6,600.0058,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,7,600.0035,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,8,600.0061,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,9,600.0049,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,10,600.2170,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,11,600.0053,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,12,600.0050,0,4780.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,13,78.1023,1,4782.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,14,600.0137,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,15,600.0044,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,16,600.0045,0,4780.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,17,600.0057,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,18,600.0047,0,4749.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,19,600.0036,0,4740.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,20,600.0034,0,4718.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,21,600.1540,0,4780.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,22,600.0054,0,4780.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,23,600.0051,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,24,600.0039,0,4780.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,25,600.0050,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,26,600.0042,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,27,600.0035,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,28,600.0031,0,4773.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,29,600.0031,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,30,600.0039,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,31,600.0028,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,32,600.0046,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,33,600.0044,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,34,600.0044,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,35,342.4094,1,4782.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,36,600.3368,0,4773.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,37,600.0050,0,4749.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,38,600.0043,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,39,600.0036,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,40,600.0048,0,4749.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,41,600.0032,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,42,600.0043,0,4749.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,43,600.0044,0,4780.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,44,600.0039,0,4733.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,45,600.0038,0,4780.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,46,600.0053,0,4780.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,47,600.0032,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,48,600.0039,0,4759.00
instance-11.txt,4782.0,GRASP_alpha0.1_sampled_greedy,49,105.0995,1,4782.00
