instance,target,algorithm,mu_hat,lambda_hat,successes,total_runs
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,38.61846278871266,267.79518330416226,20,50
instance-14.txt,14920.0,TS_t20_i1000,169.56272621673907,138.42571499788147,17,50
