instance,target,algorithm,t,p,mu_hat,lambda_hat,total_runs,successes,success_rate,time_limit,normalize_by_total
instance-11.txt,4782.0,TS_t20_i1000,40.38170385360718,0.02,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,41.50263476371765,0.04,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,43.019919872283936,0.06,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,43.5093834400177,0.08,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,43.5874924659729,0.1,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,43.7891993522644,0.12,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,43.79130244255066,0.14,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,44.53982496261597,0.16,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,45.02910304069519,0.18,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,45.53268718719482,0.2,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,45.728007078170776,0.22,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,45.88338994979858,0.24,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,46.71152901649475,0.26,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,49.25602078437805,0.28,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,50.4264726638794,0.3,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,50.731072425842285,0.32,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,59.4933762550354,0.34,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,59.97389197349548,0.36,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,60.21441721916199,0.38,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,60.72791576385498,0.4,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,60.87417221069336,0.42,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,61.43198394775391,0.44,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,68.37088060379028,0.46,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,72.36471223831177,0.48,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,72.54243969917297,0.5,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,73.50485873222351,0.52,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,140.31919169425964,0.54,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,140.50897097587583,0.56,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,141.85682678222656,0.58,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,144.43186831474304,0.6,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,145.92012453079224,0.62,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,151.41580057144165,0.64,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,157.0071895122528,0.66,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,160.41044211387634,0.68,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,166.23870730400083,0.7,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,174.12514114379883,0.72,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,182.9096713066101,0.74,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,285.4648218154907,0.76,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,291.97579312324524,0.78,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,298.51467061042786,0.8,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,300.05720043182373,0.82,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,313.9480366706848,0.84,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,316.1385278701782,0.86,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,325.00315260887146,0.88,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,331.5897822380066,0.9,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
instance-11.txt,4782.0,TS_t20_i1000,526.5533151626587,0.92,17.294048647403564,112.46037956810241,50,46,0.92,600.0,True
